Estado,Municipio,Colonia,Codigo
CDMX,Benito Juárez,La Interamericana Compañía de Seguros S.A.,3219
CDMX,Benito Juárez,Centro Urbano Presidente Miguel Alemán,3220
CDMX,Benito Juárez,Centro Hospitalario 20 de Noviembre,3229
CDMX,Benito Juárez,Actipan,3230
CDMX,Benito Juárez,Acacias,3240
CDMX,Benito Juárez,Portales Sur,3300
CDMX,Benito Juárez,Portales Norte,3303
CDMX,Benito Juárez,Santa Cruz Atoyac,3310
CDMX,Benito Juárez,Modulo Social las Flores,3313
CDMX,Benito Juárez,Delegación Política Benito Juárez,3319
CDMX,Benito Juárez,Residencial Emperadores,3320
CDMX,Benito Juárez,Xoco,3330
CDMX,Benito Juárez,Bancomer S.A.,3339
CDMX,Benito Juárez,General Pedro Maria Anaya,3340
CDMX,Benito Juárez,Álamos,3400
CDMX,Benito Juárez,Postal,3410
CDMX,Benito Juárez,Miguel Alemán,3420
CDMX,Benito Juárez,Josefa Ortiz de Domínguez,3430
CDMX,Benito Juárez,Niños Héroes,3440
CDMX,Benito Juárez,Nativitas,3500
CDMX,Benito Juárez,Moderna,3510
CDMX,Benito Juárez,Iztaccihuatl,3520
CDMX,Benito Juárez,Villa de Cortes,3530
CDMX,Benito Juárez,Del Carmen,3540
CDMX,Benito Juárez,Zacahuitzco,3550
CDMX,Benito Juárez,Albert,3560
CDMX,Benito Juárez,Portales Oriente,3570
CDMX,Benito Juárez,Miravalle,3580
CDMX,Benito Juárez,Ermita,3590
CDMX,Benito Juárez,Vertiz Narvarte,3600
CDMX,Benito Juárez,Américas Unidas,3610
CDMX,Benito Juárez,Periodista,3620
CDMX,Benito Juárez,Independencia,3630
CDMX,Benito Juárez,Del Lago,3640
CDMX,Benito Juárez,Letrán Valle,3650
CDMX,Benito Juárez,San Simón Ticumac,3660
CDMX,Benito Juárez,Santa Maria Nonoalco,3700
CDMX,Benito Juárez,Ciudad de los Deportes,3710
CDMX,Benito Juárez,Nochebuena,3720
CDMX,Benito Juárez,San Juan,3730
CDMX,Benito Juárez,Extremadura Insurgentes,3740
CDMX,Benito Juárez,San Pedro de los Pinos,3800
CDMX,Benito Juárez,Procuraduría Federal Fiscal,3809
CDMX,Benito Juárez,Napoles,3810
CDMX,Benito Juárez,The Sidney Ross Co S.A.,3818
CDMX,Benito Juárez,World Trade Center Ciudad de México,3819
CDMX,Benito Juárez,8 de Agosto,3820
CDMX,Benito Juárez,Ampliación Napoles,3840
CDMX,Benito Juárez,Cámara Nacional de la Industria de Transformación,3849
CDMX,Benito Juárez,San José Insurgentes,3900
CDMX,Benito Juárez,Mixcoac,3910
CDMX,Benito Juárez,Insurgentes Mixcoac,3920
CDMX,Benito Juárez,Merced Gómez,3930
CDMX,Benito Juárez,Crédito Constructor,3940
CDMX,Benito Juárez,Consejo Nacional de La Ciencia y Tecnología,3949
CDMX,Coyoacán,Villa Coyoacán,4000
CDMX,Coyoacán,Delegación Política Coyoacán,4009
CDMX,Coyoacán,Barrio Santa Catarina,4010
CDMX,Coyoacán,Barrio La Concepción,4020
CDMX,Coyoacán,Barrio San Lucas,4030
CDMX,Coyoacán,Parque San Andrés,4040
CDMX,Coyoacán,Del Carmen,4100
CDMX,Coyoacán,Viveros de Coyoacán,4110
CDMX,Coyoacán,San Mateo,4120
CDMX,Coyoacán,San Diego Churubusco,4120
CDMX,Coyoacán,Cámara Nacional de la Industria Editorial,4129
CDMX,Coyoacán,Campestre Churubusco,4200
CDMX,Coyoacán,Churubusco Country Club,4210
CDMX,Coyoacán,Prado Churubusco,4230
CDMX,Coyoacán,Ermita Churubusco,4239
CDMX,Coyoacán,Hermosillo,4240
CDMX,Coyoacán,Paseos de Taxqueña,4250
CDMX,Coyoacán,20 de Agosto,4259
CDMX,Coyoacán,San Francisco Culhuacán Barrio de San Juan,4260
CDMX,Coyoacán,San Francisco Culhuacán Barrio de San Francisco,4260
CDMX,Coyoacán,San Francisco Culhuacán Barrio de La Magdalena,4260
CDMX,Coyoacán,San Francisco Culhuacán Barrio de Santa Ana,4260
CDMX,Coyoacán,Santa Martha del Sur Quetzalcoatl,4270
CDMX,Coyoacán,Taxqueña,4280
CDMX,Coyoacán,Ajusco,4300
CDMX,Coyoacán,Ajusco Montserrat,4307
CDMX,Coyoacán,Pedregal de Monserrat,4309
CDMX,Coyoacán,Romero de Terreros,4310
CDMX,Coyoacán,Monte de Piedad,4310
CDMX,Coyoacán,ISSSTE,4317
CDMX,Coyoacán,Barrio Oxtopulco Universidad,4318
CDMX,Coyoacán,Torres de Chimalistac,4319
CDMX,Coyoacán,Fortín de Chimalistac,4319
CDMX,Coyoacán,Cuadrante de San Francisco,4320
CDMX,Coyoacán,Romero de Terreros,4320
CDMX,Coyoacán,Pedregal de San Francisco,4320
CDMX,Coyoacán,Villa de San Francisco,4326
CDMX,Coyoacán,Rincón de Guanajuato,4327
CDMX,Coyoacán,Barrio del Niño Jesús,4330
CDMX,Coyoacán,Rosedal,4330
CDMX,Coyoacán,Pedregal de Coyoacán,4330
CDMX,Coyoacán,Pueblo de los Reyes,4330
CDMX,Coyoacán,El Rosedal,4330
CDMX,Coyoacán,Rinconada de los Reyes,4330
CDMX,Coyoacán,Pacifico,4330
CDMX,Coyoacán,Zapata,4336
CDMX,Coyoacán,Montserrat,4337
CDMX,Coyoacán,Mariana,4338
CDMX,Coyoacán,Insurgentes San Angel,4340
CDMX,Coyoacán,Copilco El Bajo,4340
CDMX,Coyoacán,Copilco Universidad ISSSTE,4340
CDMX,Coyoacán,Copilco,4350
